u,v,name,length,highway,oneway
42434839,42430126,"[u'Beach Street', u'West Broadway']",80.8452386475,primary,True
42443032,42439406,2nd Avenue,80.5153774344,primary,True
42443032,42448238,East 83rd Street,216.030994107,residential,True
42427780,42429104,Broadway,134.514294786,primary,False
42427780,42429109,Broadway,51.4220640086,primary,False
42427780,42427782,West 192nd Street,84.6426795606,residential,False
42434842,42434839,Beach Street,38.5540726193,primary,True
42434842,42434855,Walker Street,74.9116906261,primary,True
4616536348,42423456,Varick Street,70.9643280109,unclassified,True
4616536348,4139510037,Broome Street,70.4508100136,residential,False
42443037,42435516,2nd Avenue,80.176330751,primary,True
42443037,42450028,East 85th Street,215.902125408,residential,True
3783071109,1919595912,Attorney Street,17.5828006675,residential,False
3783071109,42440401,East Houston Street,75.1945404207,primary,True
4616536352,42436353,Dominick Street,144.605064354,residential,True
4616536352,4616536348,Varick Street,68.7139290917,primary,True
42443042,42443040,2nd Avenue,79.2947876752,primary,True
42443042,42445748,East 88th Street,228.286691606,residential,True
42449627,42446337,Wadsworth Avenue,81.5094633351,tertiary,False
42449627,42433046,West 174th Street,117.283418756,residential,True
42443044,42444820,East 90th Street,228.48179687,residential,True
42443044,42436549,2nd Avenue,79.4812001567,primary,True
1632878885,42429918,"[u'FDR Drive', u'East 26th Street']",307.069599861,"[u'unclassified', u'residential']",True
1632878885,42454214,East 27th Street,105.754268768,residential,False
42443046,42443044,2nd Avenue,79.4984909473,primary,True
42434855,42430122,Walker Street,46.1703807253,primary,True
42434855,42445700,West Broadway,48.8385679628,secondary,True
42443048,42448745,East 92nd Street,229.093695168,residential,True
42443048,42443046,2nd Avenue,78.8826040285,primary,True
42426665,4515465264,Harlem River Driveway,504.858769277,tertiary,False
42443050,42443048,2nd Avenue,80.2572261726,primary,True
42443050,42450037,East 93rd Street,215.876784981,residential,True
486859051,486869939,Williamsburg Bridge,143.429938777,motorway,True
42443052,42444506,East 94th Street,228.090727963,residential,True
42443052,42443050,2nd Avenue,80.6752342196,primary,True
42443054,4779073675,East 96th Street,207.636393042,secondary,False
42443054,42450044,East 96th Street,218.18859812,secondary,False
42443054,42434175,2nd Avenue,89.3246567282,primary,True
4685462237,4685453634,Hudson Street,33.4893368784,residential,True
4685462237,42431503,Hudson Street,31.5864035883,residential,True
42443056,42449010,East 97th Street,229.133920729,residential,False
42443056,42443054,2nd Avenue,92.5166480831,primary,True
42443056,42449007,East 97th Street,215.473491446,residential,False
3783071112,1919595923,Ridge Street,17.5340371684,residential,True
3783071112,3783071109,East Houston Street,77.2082854533,primary,True
42443058,42443056,2nd Avenue,151.269917845,primary,True
42443058,42445261,East 99th Street,215.583301279,residential,True
42443061,42443058,2nd Avenue,81.2048757601,primary,True
42443061,42456091,East 100th Street,229.126245999,residential,True
42426678,42443118,2nd Avenue,44.9059646657,primary,True
42434871,42436056,Greenwich Street,72.7229774475,residential,True
42443066,42436627,2nd Avenue,79.8080431568,primary,True
42443066,42450055,East 105th Street,216.318122741,residential,True
42443068,42450057,East 106th Street,216.035890256,residential,False
42443068,42443066,2nd Avenue,86.7455832399,primary,True
42443068,42450468,East 106th Street,228.238442067,residential,False
42443072,42436651,2nd Avenue,82.9365541643,primary,True
42443072,42450061,East 109th Street,215.812523019,residential,True
4685462240,4685453636,Hudson Street,34.0146419594,residential,True
4685462240,42436423,Hudson Street,33.2396049698,residential,True
1919595915,1918039880,East Houston Street,79.3692216155,primary,True
1919595915,42428444,Broadway,151.786116084,secondary,True
42443078,42449427,East 112th Street,228.663116569,residential,True
42443078,42443077,2nd Avenue,80.4481305386,primary,True
42431877,42431889,Broad Street,56.4230433215,unclassified,False
